	rank	word	count	frequency
605	207	surprised	25	0.00020158364108435872
606	207	meeting	25	0.00020158364108435872
607	208	late	24	0.00019352029544098437
608	208	ten	24	0.00019352029544098437
609	208	society	24	0.00019352029544098437
610	208	read	24	0.00019352029544098437
611	208	desire	24	0.00019352029544098437
612	208	proper	24	0.00019352029544098437
613	208	delight	24	0.00019352029544098437
614	208	supposed	24	0.00019352029544098437
615	208	Perhaps	24	0.00019352029544098437
616	208	Why	24	0.00019352029544098437
617	208	idea	24	0.00019352029544098437
618	208	answered	24	0.00019352029544098437
619	208	seems	24	0.00019352029544098437
620	208	painful	24	0.00019352029544098437
621	208	curiosity	24	0.00019352029544098437
622	208	joy	24	0.00019352029544098437
623	208	thoughts	24	0.00019352029544098437
624	208	dinner	24	0.00019352029544098437
625	208	fixed	24	0.00019352029544098437
626	208	taking	24	0.00019352029544098437
627	208	forced	24	0.00019352029544098437
628	208	Charlotte	24	0.00019352029544098437
629	208	Foundation	24	0.00019352029544098437
630	209	constant	23	0.00018545694979761002
631	209	earnest	23	0.00018545694979761002
632	209	easy	23	0.00018545694979761002
633	209	cold	23	0.00018545694979761002
634	209	income	23	0.00018545694979761002
635	209	regret	23	0.00018545694979761002
636	209	true	23	0.00018545694979761002
637	209	worth	23	0.00018545694979761002
638	209	serious	23	0.00018545694979761002
639	209	prevent	23	0.00018545694979761002
640	209	men	23	0.00018545694979761002
641	209	weeks	23	0.00018545694979761002
642	209	smile	23	0.00018545694979761002
643	209	meet	23	0.00018545694979761002
644	209	afraid	23	0.00018545694979761002
645	209	sometimes	23	0.00018545694979761002
646	209	formed	23	0.00018545694979761002
647	209	effect	23	0.00018545694979761002
648	209	tears	23	0.00018545694979761002
649	209	After	23	0.00018545694979761002
650	209	reached	23	0.00018545694979761002
651	209	window	23	0.00018545694979761002
652	209	share	23	0.00018545694979761002
653	209	unfortunate	23	0.00018545694979761002
654	209	probably	23	0.00018545694979761002
655	209	bear	23	0.00018545694979761002
656	209	making	23	0.00018545694979761002
657	209	servant	23	0.00018545694979761002
658	209	used	23	0.00018545694979761002
659	210	Park	22	0.00017739360415423567
660	210	merely	22	0.00017739360415423567
661	210	disappointment	22	0.00017739360415423567
662	210	sent	22	0.00017739360415423567
663	210	danger	22	0.00017739360415423567
664	210	promise	22	0.00017739360415423567
665	210	affectionate	22	0.00017739360415423567
666	210	plan	22	0.00017739360415423567
667	210	knowing	22	0.00017739360415423567
668	210	strange	22	0.00017739360415423567
669	210	address	22	0.00017739360415423567
670	210	_she_	22	0.00017739360415423567
671	210	scarcely	22	0.00017739360415423567
672	210	admiration	22	0.00017739360415423567
673	210	respect	22	0.00017739360415423567
674	210	help	22	0.00017739360415423567
675	210	journey	22	0.00017739360415423567
676	210	sitting	22	0.00017739360415423567
677	210	wrong	22	0.00017739360415423567
678	210	asked	22	0.00017739360415423567
679	210	connection	22	0.00017739360415423567
680	210	Did	22	0.00017739360415423567
681	210	leaving	22	0.00017739360415423567
682	210	E	22	0.00017739360415423567
683	211	meant	21	0.00016933025851086132
684	211	temper	21	0.00016933025851086132
685	211	disposed	21	0.00016933025851086132
686	211	fond	21	0.00016933025851086132
687	211	equal	21	0.00016933025851086132
688	211	arrived	21	0.00016933025851086132
689	211	avoid	21	0.00016933025851086132
690	211	disposition	21	0.00016933025851086132
691	211	exertion	21	0.00016933025851086132
692	211	hundred	21	0.00016933025851086132
693	211	looking	21	0.00016933025851086132
694	211	forth	21	0.00016933025851086132
695	211	emotion	21	0.00016933025851086132
696	211	melancholy	21	0.00016933025851086132
697	211	speaking	21	0.00016933025851086132
698	211	conviction	21	0.00016933025851086132
699	211	tried	21	0.00016933025851086132
700	211	mistaken	21	0.00016933025851086132
701	211	With	21	0.00016933025851086132
702	211	view	21	0.00016933025851086132
703	211	beauty	21	0.00016933025851086132
704	211	chance	21	0.00016933025851086132
705	211	writing	21	0.00016933025851086132
706	211	Not	21	0.00016933025851086132
707	212	lived	20	0.00016126691286748698
708	212	loss	20	0.00016126691286748698
